fecha,PM10(ug/m3),WS(m/s),WD(°),TEMP(°C),HR(%)
2022-07-01 01:00:00,8.0,2.92,243.64,18.83,73.55
2022-07-01 02:00:00,7.0,3.32,290.63,19.22,68.49
2022-07-01 03:00:00,14.0,1.75,233.63,18.9,69.92
2022-07-01 04:00:00,20.0,1.65,92.41,18.78,70.78
2022-07-01 05:00:00,19.0,2.51,158.99,18.58,69.83
2022-07-01 06:00:00,19.0,1.62,259.79,17.97,75.13
2022-07-01 07:00:00,26.0,1.56,265.37,17.6,77.59
2022-07-01 08:00:00,24.0,1.45,130.25,21.26,70.26
2022-07-01 09:00:00,28.0,2.69,102.6,22.56,57.81
2022-07-01 10:00:00,15.0,3.66,102.24,23.61,49.47
2022-07-01 11:00:00,22.0,3.44,121.01,23.24,49.64
2022-07-01 12:00:00,12.0,3.08,145.58,24.94,45.49
2022-07-01 13:00:00,24.0,2.83,157.28,26.6,38.49
2022-07-01 14:00:00,17.0,3.62,155.79,27.71,34.26
2022-07-01 15:00:00,16.0,2.65,162.2,29.05,31.64
2022-07-01 16:00:00,10.0,2.41,166.69,30.38,27.03
2022-07-01 17:00:00,103.0,3.67,226.94,28.67,30.44
2022-07-01 18:00:00,238.0,5.86,141.9,22.2,49.45
2022-07-01 19:00:00,45.0,3.56,174.67,21.33,51.89
2022-07-01 20:00:00,34.0,2.22,238.08,21.77,48.15
2022-07-01 21:00:00,26.0,2.26,246.1,20.32,59.37
2022-07-01 22:00:00,28.0,2.11,252.19,20.56,58.22
2022-07-01 23:00:00,30.0,1.91,224.54,20.3,61.15
2022-07-02 00:00:00,53.0,1.91,236.18,19.54,65.94
2022-07-02 01:00:00,36.0,1.82,212.27,19.41,67.86
2022-07-02 02:00:00,23.0,1.55,182.58,18.69,70.47
2022-07-02 03:00:00,27.0,2.22,150.61,17.99,74.36
2022-07-02 04:00:00,26.0,1.28,128.18,17.04,79.21
2022-07-02 05:00:00,30.0,1.55,90.19,16.89,78.99
2022-07-02 06:00:00,37.0,1.8,122.32,16.62,79.2
2022-07-02 07:00:00,39.0,2.44,132.8,16.35,81.34
2022-07-02 08:00:00,28.0,2.75,116.32,18.19,75.77
2022-07-02 09:00:00,39.0,3.02,125.51,20.49,65.77
2022-07-02 10:00:00,23.0,2.91,115.74,22.14,55.52
2022-07-02 11:00:00,14.0,3.18,121.95,23.52,51.15
2022-07-02 12:00:00,34.0,2.93,129.27,25.04,46.82
2022-07-02 13:00:00,17.0,2.69,110.2,27.17,39.62
2022-07-02 14:00:00,17.0,2.85,125.49,28.2,33.02
2022-07-02 15:00:00,15.0,3.4,158.68,28.67,31.28
2022-07-02 16:00:00,16.0,2.77,160.79,29.35,29.16
2022-07-02 17:00:00,23.0,2.66,146.91,27.98,32.04
2022-07-02 18:00:00,56.0,4.53,97.8,26.25,35.55
2022-07-02 19:00:00,105.0,4.01,85.11,24.52,41.88
2022-07-02 20:00:00,41.0,4.04,148.54,22.63,48.93
2022-07-02 21:00:00,35.0,3.05,197.72,20.85,58.34
2022-07-02 22:00:00,28.0,3.44,251.11,19.51,63.66
2022-07-02 23:00:00,28.0,3.94,300.63,18.32,72.54
2022-07-03 00:00:00,27.0,3.93,288.55,18.19,67.85
2022-07-03 01:00:00,16.0,2.65,277.1,17.82,67.0
2022-07-03 02:00:00,15.0,2.38,229.0,16.89,73.56
2022-07-03 03:00:00,20.0,1.78,261.56,16.96,75.42
2022-07-03 04:00:00,17.0,1.39,263.84,17.06,75.42
2022-07-03 05:00:00,23.0,1.88,280.55,16.86,76.1
2022-07-03 06:00:00,25.0,1.68,285.08,16.41,78.31
2022-07-03 07:00:00,29.0,1.83,303.85,16.82,80.83
2022-07-03 08:00:00,30.0,1.76,136.91,17.9,77.22
2022-07-03 09:00:00,26.0,2.52,100.68,19.91,67.68
2022-07-03 10:00:00,18.0,4.54,88.13,21.66,60.64
2022-07-03 11:00:00,19.0,4.08,101.14,22.89,56.26
2022-07-03 12:00:00,21.0,3.66,95.64,23.75,52.97
2022-07-03 13:00:00,54.0,3.87,92.88,26.88,40.55
2022-07-03 14:00:00,76.0,3.63,101.29,27.84,35.97
2022-07-03 15:00:00,19.0,3.44,84.16,28.05,32.38
2022-07-03 16:00:00,7.0,3.39,108.03,27.89,29.15
2022-07-03 17:00:00,8.0,2.93,170.5,29.9,25.12
2022-07-03 18:00:00,17.0,3.45,126.97,28.43,34.13
2022-07-03 19:00:00,28.0,3.02,136.17,25.96,39.25
2022-07-03 20:00:00,34.0,3.14,203.93,23.88,46.82
2022-07-03 21:00:00,29.0,2.58,231.34,21.98,52.63
2022-07-03 22:00:00,32.0,3.19,275.47,21.41,55.56
2022-07-03 23:00:00,24.0,3.99,281.98,21.22,55.14
2022-07-04 00:00:00,23.0,4.59,89.36,20.81,55.5
2022-07-04 01:00:00,18.0,3.97,85.72,19.48,61.78
2022-07-04 02:00:00,17.0,3.67,64.77,19.08,63.25
2022-07-04 03:00:00,20.0,2.87,65.54,18.26,65.79
2022-07-04 04:00:00,19.0,3.55,64.25,17.68,66.94
2022-07-04 05:00:00,20.0,3.12,81.89,17.1,68.51
2022-07-04 06:00:00,25.0,2.79,104.83,16.37,73.05
2022-07-04 07:00:00,38.0,2.18,97.55,16.45,75.04
2022-07-04 08:00:00,39.0,3.09,101.15,18.99,68.51
2022-07-04 09:00:00,33.0,5.41,69.64,21.4,57.27
2022-07-04 10:00:00,34.0,5.9,69.74,22.7,51.86
2022-07-04 11:00:00,43.0,5.74,74.12,24.33,45.95
2022-07-04 12:00:00,58.0,5.69,77.51,25.76,40.02
2022-07-04 13:00:00,146.0,6.85,80.4,26.72,33.36
2022-07-04 14:00:00,173.0,6.69,87.35,27.58,29.66
2022-07-04 15:00:00,48.0,5.52,79.64,28.5,27.79
2022-07-04 16:00:00,19.0,4.25,83.13,29.67,26.22
2022-07-04 17:00:00,15.0,4.7,83.35,30.31,24.9
2022-07-04 18:00:00,29.0,4.78,86.06,30.37,23.65
2022-07-04 19:00:00,141.0,5.28,63.36,27.66,29.67
2022-07-04 20:00:00,42.0,5.57,55.71,26.3,32.15
2022-07-04 21:00:00,27.0,4.75,62.81,24.08,41.61
2022-07-04 22:00:00,32.0,4.5,82.8,22.94,49.44
2022-07-05 00:00:00,17.0,3.15,113.62,20.49,60.64
2022-07-05 01:00:00,20.0,2.51,104.11,20.09,61.77
2022-07-05 02:00:00,19.0,1.99,178.5,19.38,63.88
2022-07-05 03:00:00,12.0,1.71,218.67,18.27,70.78
2022-07-05 04:00:00,16.0,1.94,262.87,17.82,73.13
2022-07-05 05:00:00,15.0,1.77,243.15,17.27,78.75
2022-07-05 06:00:00,19.0,1.77,211.09,17.37,79.33
2022-07-05 07:00:00,25.0,2.78,145.9,17.6,78.31
2022-07-05 08:00:00,21.0,2.4,74.2,16.76,80.69
2022-07-05 09:00:00,15.0,3.08,84.58,18.99,73.27
2022-07-05 11:00:00,13.0,3.67,103.34,21.32,60.17
2022-07-05 12:00:00,14.0,2.57,127.76,24.34,50.93
2022-07-05 13:00:00,64.0,2.48,168.45,26.36,44.7
2022-07-05 14:00:00,25.0,2.92,201.07,27.99,38.63
2022-07-05 15:00:00,13.0,4.0,193.18,27.42,39.71
2022-07-05 16:00:00,16.0,3.05,232.18,26.55,41.7
2022-07-05 17:00:00,19.0,3.22,214.64,25.44,44.32
2022-07-05 18:00:00,37.0,3.33,203.44,17.92,79.3
2022-07-05 19:00:00,22.0,3.64,182.69,18.07,87.69
2022-07-05 20:00:00,17.0,3.86,139.96,18.01,81.0
2022-07-05 21:00:00,27.0,4.43,90.44,15.96,85.97
2022-07-05 22:00:00,18.0,3.12,150.5,15.23,95.03
2022-07-05 23:00:00,12.0,2.55,230.57,15.13,96.36
2022-07-06 00:00:00,18.0,2.22,75.53,15.21,97.07
2022-07-06 01:00:00,19.0,1.78,138.81,15.07,96.88
2022-07-06 02:00:00,20.0,1.69,194.47,15.2,97.44
2022-07-06 03:00:00,13.0,1.3,240.82,15.38,97.54
2022-07-06 04:00:00,19.0,2.1,299.85,15.19,98.07
2022-07-06 05:00:00,19.0,2.14,308.22,15.22,98.41
2022-07-06 06:00:00,25.0,2.09,309.17,14.86,98.24
2022-07-06 07:00:00,21.0,2.3,307.38,15.36,98.36
2022-07-06 08:00:00,23.0,2.55,287.45,18.45,97.37
2022-07-06 09:00:00,14.0,2.07,274.01,21.43,81.01
2022-07-06 10:00:00,18.0,2.86,113.33,22.93,66.93
2022-07-06 11:00:00,30.0,3.63,109.24,22.92,59.32
2022-07-06 12:00:00,25.0,3.57,105.13,24.49,49.59
2022-07-06 13:00:00,28.0,3.36,103.41,25.42,43.93
2022-07-06 14:00:00,24.0,3.35,115.7,26.16,41.74
2022-07-06 15:00:00,31.0,3.18,104.73,27.04,36.5
2022-07-06 16:00:00,20.0,3.44,112.73,27.86,33.42
2022-07-06 17:00:00,17.0,2.88,95.52,29.07,27.74
2022-07-06 18:00:00,38.0,4.2,188.03,25.73,38.61
2022-07-06 19:00:00,37.0,3.38,243.97,22.91,47.41
2022-07-06 20:00:00,24.0,3.46,99.51,23.17,48.59
2022-07-06 21:00:00,21.0,3.35,134.95,21.19,56.17
2022-07-06 22:00:00,24.0,1.76,133.56,19.77,62.92
2022-07-06 23:00:00,27.0,2.1,112.68,19.28,67.29
2022-07-07 00:00:00,20.0,2.99,85.77,18.64,66.7
2022-07-07 01:00:00,10.0,3.75,70.95,18.21,67.48
2022-07-07 02:00:00,13.0,2.92,82.46,17.84,70.52
2022-07-07 03:00:00,24.0,1.91,113.07,16.58,74.46
2022-07-07 04:00:00,24.0,2.42,84.64,16.3,76.4
2022-07-07 05:00:00,64.0,1.43,127.72,15.83,77.28
2022-07-07 06:00:00,42.0,1.66,117.88,14.84,82.57
2022-07-07 07:00:00,31.0,1.59,115.52,15.0,85.06
2022-07-07 08:00:00,37.0,1.52,153.93,19.51,77.58
2022-07-07 09:00:00,38.0,3.35,94.85,21.8,60.08
2022-07-07 10:00:00,28.0,4.26,91.04,22.41,51.36
2022-07-07 11:00:00,21.0,4.23,84.15,23.57,44.46
2022-07-07 12:00:00,20.0,4.24,92.44,24.59,40.66
2022-07-07 13:00:00,37.0,3.53,91.42,25.67,38.51
2022-07-07 14:00:00,44.0,2.85,118.09,27.37,33.23
2022-07-07 15:00:00,22.0,2.85,129.97,27.65,31.19
2022-07-07 16:00:00,17.0,3.6,107.97,27.87,30.59
2022-07-07 17:00:00,24.0,5.08,145.47,25.56,38.58
2022-07-07 18:00:00,26.0,3.86,171.3,23.04,47.7
2022-07-07 19:00:00,29.0,3.72,197.49,22.72,48.09
2022-07-07 20:00:00,31.0,2.79,270.89,21.21,54.84
2022-07-07 21:00:00,90.0,3.72,103.2,17.91,73.41
2022-07-07 22:00:00,37.0,3.92,93.76,15.58,90.55
2022-07-07 23:00:00,12.0,2.96,121.1,15.13,95.21
2022-07-08 00:00:00,11.0,2.26,128.19,15.51,97.48
2022-07-08 01:00:00,21.0,1.71,133.59,15.84,99.19
2022-07-08 02:00:00,17.0,1.72,107.09,16.3,99.43
2022-07-08 03:00:00,25.0,2.3,92.82,16.31,98.7
2022-07-08 04:00:00,25.0,2.36,113.7,16.24,96.83
2022-07-08 05:00:00,24.0,1.15,153.68,15.98,98.16
2022-07-08 06:00:00,30.0,1.85,110.21,15.85,97.11
2022-07-08 07:00:00,33.0,2.65,85.6,16.03,93.73
2022-07-08 08:00:00,30.0,3.11,86.13,17.64,90.57
2022-07-08 09:00:00,31.0,4.16,88.83,19.94,73.63
2022-07-08 10:00:00,27.0,3.75,77.53,21.64,63.87
2022-07-08 11:00:00,27.0,3.46,97.91,23.34,56.24
2022-07-08 12:00:00,17.0,2.61,104.17,25.4,46.05
2022-07-08 13:00:00,65.0,2.32,132.45,26.76,40.92
2022-07-08 14:00:00,114.0,3.13,90.26,27.59,35.19
2022-07-08 15:00:00,31.0,3.97,84.66,27.89,31.33
2022-07-08 16:00:00,16.0,3.07,100.03,28.71,30.1
2022-07-08 17:00:00,16.0,3.76,82.6,29.76,25.67
2022-07-08 18:00:00,22.0,4.46,129.09,28.61,29.81
2022-07-08 19:00:00,30.0,4.15,130.41,26.09,35.61
2022-07-08 20:00:00,26.0,4.27,108.61,24.92,40.7
2022-07-08 21:00:00,33.0,6.29,51.98,23.85,44.55
2022-07-08 22:00:00,25.0,4.65,62.36,22.33,51.95
2022-07-08 23:00:00,24.0,3.55,100.19,20.83,60.32
2022-07-09 00:00:00,20.0,3.4,98.83,19.68,65.27
2022-07-09 01:00:00,27.0,2.87,85.26,18.49,69.65
2022-07-09 02:00:00,20.0,3.35,58.18,18.01,70.81
2022-07-09 03:00:00,21.0,3.16,59.14,17.77,70.53
2022-07-09 04:00:00,19.0,2.62,52.36,17.34,71.31
2022-07-09 05:00:00,23.0,1.82,99.58,16.6,73.75
2022-07-09 06:00:00,26.0,1.32,150.18,15.69,78.01
2022-07-09 07:00:00,27.0,1.69,196.36,16.16,77.77
2022-07-09 08:00:00,32.0,1.94,161.19,19.7,70.87
2022-07-09 09:00:00,31.0,2.23,96.69,21.95,59.97
2022-07-09 10:00:00,27.0,3.03,91.37,23.39,52.25
2022-07-09 11:00:00,22.0,3.23,85.0,24.52,47.8
2022-07-09 12:00:00,14.0,2.91,122.06,26.06,43.55
2022-07-09 13:00:00,13.0,3.49,105.74,27.18,37.66
2022-07-09 14:00:00,13.0,3.74,111.61,28.14,34.35
2022-07-09 15:00:00,14.0,3.1,122.3,29.11,32.27
2022-07-09 16:00:00,17.0,3.61,99.08,28.64,32.71
2022-07-09 17:00:00,26.0,2.84,258.05,21.27,58.62
2022-07-09 18:00:00,16.0,2.12,274.63,23.55,52.89
2022-07-09 19:00:00,57.0,4.79,82.73,26.93,34.65
2022-07-09 20:00:00,62.0,4.21,143.85,24.35,40.73
2022-07-09 23:00:00,17.0,2.62,126.91,20.29,56.54
2022-07-10 00:00:00,35.0,3.27,94.69,19.55,57.63
2022-07-10 01:00:00,12.0,2.79,107.69,18.52,61.32
2022-07-10 02:00:00,20.0,1.97,127.78,17.58,64.88
2022-07-10 03:00:00,25.0,2.47,69.76,17.51,66.77
2022-07-10 04:00:00,18.0,2.83,55.29,17.53,65.99
2022-07-10 05:00:00,18.0,2.63,117.43,16.82,67.75
2022-07-10 06:00:00,22.0,2.38,126.96,15.57,72.93
2022-07-10 07:00:00,21.0,1.76,87.4,16.01,74.61
2022-07-10 08:00:00,25.0,2.06,119.86,20.26,64.9
2022-07-10 09:00:00,22.0,2.9,97.39,21.98,56.38
2022-07-10 10:00:00,16.0,3.43,95.84,23.17,49.92
2022-07-10 11:00:00,14.0,3.36,94.51,24.43,44.53
2022-07-10 12:00:00,9.0,2.31,148.52,26.24,39.91
2022-07-10 13:00:00,9.0,2.59,114.47,27.28,35.18
2022-07-10 14:00:00,14.0,2.73,142.82,28.15,30.51
2022-07-10 15:00:00,9.0,3.12,133.5,29.01,26.79
2022-07-10 17:00:00,9.0,2.55,114.17,29.35,26.16
2022-07-10 18:00:00,10.0,2.39,124.44,29.49,25.86
2022-07-10 19:00:00,9.0,1.73,220.29,28.96,26.23
2022-07-10 20:00:00,29.0,3.18,264.25,26.29,32.51
2022-07-10 21:00:00,32.0,4.49,245.48,23.63,43.48
2022-07-10 22:00:00,33.0,4.74,177.45,19.72,62.56
2022-07-10 23:00:00,25.0,3.83,189.61,15.6,95.72
2022-07-11 00:00:00,19.0,2.19,193.54,15.95,97.69
2022-07-11 01:00:00,19.0,1.46,142.35,16.18,98.81
2022-07-11 02:00:00,24.0,1.3,137.52,15.88,99.18
2022-07-11 03:00:00,28.0,1.18,136.96,15.71,99.78
2022-07-11 09:00:00,28.0,2.12,275.43,22.3,93.1
2022-07-11 10:00:00,20.0,2.3,253.24,23.76,73.31
2022-07-11 11:00:00,31.0,2.51,271.58,24.96,58.27
2022-07-11 12:00:00,21.0,2.41,252.75,26.3,48.71
2022-07-11 13:00:00,9.0,2.64,226.95,27.26,40.76
2022-07-11 14:00:00,17.0,2.83,231.88,27.55,36.85
2022-07-11 15:00:00,8.0,2.4,196.3,28.6,31.44
2022-07-11 16:00:00,10.0,2.86,217.29,29.35,29.48
2022-07-11 17:00:00,8.0,2.71,223.66,29.42,28.44
2022-07-11 18:00:00,15.0,2.88,224.01,29.16,28.28
2022-07-11 19:00:00,25.0,2.94,220.39,27.83,28.51
2022-07-11 20:00:00,31.0,2.46,208.94,25.78,31.14
2022-07-11 21:00:00,37.0,3.01,226.28,23.46,48.35
2022-07-11 22:00:00,21.0,2.41,162.42,22.03,55.28
2022-07-11 23:00:00,60.0,3.46,158.42,20.73,65.65
2022-07-12 00:00:00,24.0,3.66,173.69,20.6,65.65
2022-07-12 02:00:00,9.0,2.45,251.12,18.43,66.07
2022-07-12 03:00:00,20.0,2.85,274.54,17.31,70.94
2022-07-12 04:00:00,12.0,3.04,293.62,17.13,71.78
2022-07-12 05:00:00,21.0,4.12,299.35,16.37,78.52
2022-07-12 06:00:00,22.0,3.08,290.07,16.13,78.05
2022-07-12 07:00:00,23.0,2.91,259.74,16.3,77.36
2022-07-12 08:00:00,28.0,2.34,238.77,18.26,72.32
2022-07-12 09:00:00,10.0,1.61,236.27,22.63,60.33
2022-07-12 10:00:00,23.0,1.82,221.91,25.26,49.25
2022-07-12 11:00:00,36.0,2.09,207.6,26.63,41.41
2022-07-12 12:00:00,34.0,2.19,205.95,27.43,39.11
2022-07-12 13:00:00,23.0,2.49,203.01,28.43,35.26
2022-07-12 14:00:00,16.0,2.8,180.06,28.9,34.67
2022-07-12 15:00:00,15.0,2.52,185.9,29.22,32.47
2022-07-12 16:00:00,16.0,3.07,166.34,29.91,31.4
2022-07-12 17:00:00,22.0,2.47,179.33,29.84,30.91
2022-07-12 18:00:00,29.0,3.49,153.17,27.4,32.45
2022-07-12 19:00:00,26.0,3.24,259.67,24.98,42.07
2022-07-12 20:00:00,38.0,2.87,288.51,22.12,53.21
2022-07-12 21:00:00,29.0,2.27,256.89,21.92,50.52
2022-07-12 22:00:00,31.0,1.97,166.22,22.27,46.86
2022-07-12 23:00:00,31.0,2.23,74.21,22.21,44.29
2022-07-13 00:00:00,33.0,2.09,116.88,21.16,51.62
2022-07-13 01:00:00,29.0,2.56,102.56,20.46,50.54
2022-07-13 02:00:00,21.0,1.61,122.03,19.12,52.01
2022-07-13 03:00:00,17.0,2.78,100.47,18.84,55.39
2022-07-13 04:00:00,21.0,5.02,47.52,18.14,62.51
2022-07-13 05:00:00,26.0,2.99,113.99,17.46,65.1
2022-07-13 06:00:00,30.0,2.11,153.28,15.75,70.33
2022-07-13 07:00:00,38.0,1.35,124.33,15.62,74.01
2022-07-13 08:00:00,49.0,1.69,156.88,19.07,64.42
2022-07-13 09:00:00,44.0,3.15,95.09,21.35,56.34
2022-07-13 10:00:00,33.0,3.64,79.82,23.32,49.95
2022-07-13 11:00:00,26.0,3.27,100.55,24.03,46.3
2022-07-13 12:00:00,25.0,2.67,123.31,25.92,40.47
2022-07-13 13:00:00,25.0,3.07,154.62,26.96,37.0
2022-07-13 14:00:00,20.0,2.63,154.28,28.22,28.55
2022-07-13 15:00:00,8.0,2.75,163.32,28.96,26.61
2022-07-13 16:00:00,19.0,2.77,121.3,28.93,25.77
2022-07-13 17:00:00,18.0,3.14,181.16,28.67,27.74
2022-07-13 18:00:00,23.0,3.72,198.81,26.93,33.03
2022-07-13 19:00:00,32.0,2.53,249.46,24.94,34.65
2022-07-13 20:00:00,20.0,3.63,97.1,23.44,43.42
2022-07-13 21:00:00,23.0,3.32,109.84,22.04,47.54
2022-07-13 22:00:00,25.0,3.47,97.08,20.98,55.83
2022-07-13 23:00:00,21.0,3.77,103.38,19.74,60.82
2022-07-14 00:00:00,18.0,3.33,108.65,18.02,69.42
2022-07-14 01:00:00,26.0,2.34,95.04,17.28,72.95
2022-07-14 02:00:00,13.0,1.67,100.48,17.1,72.14
2022-07-14 03:00:00,11.0,1.39,113.01,16.64,73.77
2022-07-14 04:00:00,18.0,1.36,107.06,16.38,74.27
2022-07-14 05:00:00,29.0,1.14,146.62,15.8,74.15
2022-07-14 06:00:00,26.0,1.43,131.98,15.56,74.45
2022-07-14 07:00:00,42.0,1.37,111.38,15.47,76.54
2022-07-14 08:00:00,58.0,1.6,125.91,18.9,69.08
2022-07-14 09:00:00,50.0,3.35,90.65,20.81,59.3
2022-07-14 10:00:00,34.0,3.52,106.77,22.66,51.93
2022-07-14 11:00:00,23.0,3.31,104.8,24.27,45.8
2022-07-14 12:00:00,21.0,3.19,139.73,25.57,41.84
2022-07-14 13:00:00,19.0,2.96,120.56,25.95,40.77
2022-07-14 14:00:00,5.0,2.84,149.9,27.35,36.45
2022-07-14 15:00:00,23.0,3.34,134.46,28.02,32.84
2022-07-14 16:00:00,18.0,2.84,157.86,28.81,30.64
2022-07-14 17:00:00,32.0,5.18,57.18,26.64,33.7
2022-07-14 18:00:00,30.0,5.12,55.23,25.6,35.56
2022-07-14 19:00:00,54.0,4.59,61.62,25.41,33.65
2022-07-14 20:00:00,87.0,4.64,151.14,21.23,53.49
2022-07-14 21:00:00,28.0,3.45,131.85,19.16,64.55
2022-07-14 22:00:00,25.0,2.93,105.2,18.57,69.82
2022-07-14 23:00:00,18.0,2.19,132.81,18.35,71.16
2022-07-15 00:00:00,16.0,2.19,120.65,18.33,70.68
2022-07-15 01:00:00,16.0,2.32,138.75,17.85,72.62
2022-07-15 02:00:00,19.0,1.99,170.89,16.74,77.53
2022-07-15 03:00:00,18.0,1.14,106.11,16.21,81.4
2022-07-15 04:00:00,22.0,2.03,66.45,16.53,78.7
2022-07-15 05:00:00,21.0,2.2,86.8,15.94,75.19
2022-07-15 06:00:00,26.0,1.9,119.38,14.9,76.98
2022-07-15 07:00:00,35.0,2.88,106.57,14.71,81.54
2022-07-15 08:00:00,38.0,2.39,97.84,16.95,75.6
2022-07-15 09:00:00,42.0,3.32,99.66,19.47,64.46
2022-07-15 10:00:00,24.0,4.37,79.57,21.95,51.57
2022-07-15 11:00:00,29.0,4.03,86.97,23.83,46.27
2022-07-15 12:00:00,51.0,3.54,103.84,24.47,43.71
2022-07-15 13:00:00,125.0,3.25,140.03,25.71,41.19
2022-07-15 14:00:00,114.0,2.9,123.31,26.72,37.38
2022-07-15 15:00:00,88.0,2.88,120.66,28.11,32.91
2022-07-15 16:00:00,56.0,4.01,165.42,27.87,36.69
2022-07-15 17:00:00,34.0,3.27,231.67,24.95,43.84
2022-07-15 18:00:00,23.0,3.14,283.95,23.1,50.74
2022-07-15 19:00:00,25.0,1.77,210.34,22.47,52.47
2022-07-15 20:00:00,30.0,3.3,106.11,21.91,55.97
2022-07-15 21:00:00,21.0,4.33,89.27,20.63,57.82
2022-07-15 22:00:00,43.0,5.5,84.41,18.1,76.72
2022-07-15 23:00:00,19.0,4.36,77.44,16.27,92.16
2022-07-16 00:00:00,7.0,3.77,80.62,16.67,89.74
2022-07-16 01:00:00,6.0,3.11,97.58,16.8,87.01
2022-07-16 02:00:00,11.0,3.05,101.69,16.85,84.7
2022-07-16 03:00:00,11.0,2.64,102.57,16.83,81.98
2022-07-16 04:00:00,14.0,2.63,105.4,16.48,83.59
2022-07-16 05:00:00,16.0,2.55,105.39,16.44,86.74
2022-07-16 06:00:00,27.0,2.3,107.11,16.85,84.95
2022-07-16 07:00:00,28.0,1.57,125.11,16.72,85.09
